Name,Property,Amplitude Dashboard,Amplitude Dashboard (1),Analysis Date,Bayes Outcome Report,Config Code,Don't Reshuffle 5%,Early Stopping Criteria,Exp Off: date/build,Experiment Type,Final Step,Hypothesis,Hypothesis Correct?,NHST Outcome Report,Overlappers,Owner,Platform,Power Analysis,Related to New Users Work (Property),Related to Onboarders Work (Experiment Card),Related to Trial2020 (Property),Run Dates,Screenshots,Stage,Stakeholders,Test Dates,Treatment Description,Version Number,uuid
TOTW Promotion (Android),Yes,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",NA,"December 10, 2021",Experiment%201f19a/android_totw_bayes.pdf,"AndToTWEnabled(7614.kvmi9gtk)-_default
AndToTWEnabled(7614.kvmi9gtk)-AndToTWEnabled",No,Under what circumstances would the experiment be ended early?,12/6/21,Social,"What is the immediate action being taken when you move the card to ""Complete""?",We hypothesize that prompting our users with interesting questions they can answer about themselves will increase engagement among the community.,No,Experiment%201f19a/android_totw_nhst_with_social.pdf,NA,"Seung Kim, Nick Sal",Android,NA,NA,NA,NA,"November 5, 2021 → December 3, 2021","Experiment%201f19a/Screenshot_20211105-110012.png, Experiment%201f19a/Screenshot_20211105-110019.png",Complete 2021,"Patrick Rills, Nik Alvelo",NA,"We will be posting Topic of the Week questions/prompts in one of the main groups. For those in the treatment, these posts will be boosted to the top of the feed, the cards will have a yellow background so they stand out more, and there will be a ""verified"" icon next to the name (Lose It! Team).",13.5.700,ad4a1453-d84f-4058-b351-d7dcbefe13c1
iOS Flexible Budget in Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/xepav6r,NA,NA,"Experiment%201f19a/ios_flexbudget_onboarding_revisit.pdf, Experiment%201f19a/ios_flexbudget_onboarding_nov16_bayes.pdf","iOSOnbSurveyType(7610.kvgotdx4)-flex
iOSOnbSurveyType(7610.kvgotdx4)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.","On 11/16, Steve put weekender on for 100%. This won't get rolled out to users completely until next week's release of 13.6.200.",Onboarding,"On 11/16, Steve put weekender on for 100%. This won't get rolled out to users completely until next week's release of 13.6.200.","Increase $ from trials
Increase in users on this budget",No,Experiment%201f19a/ios-flexbudget-onboarding-nhst.pdf,NA,Sarah Molhan,iOS,NA,NA,NA,NA,"November 4, 2021 → November 15, 2021",NA,Complete 2021,"Danielle Goryl, Patrick Rills","October 27, 2021 → November 3, 2021","Treatment: Onboarding includes flexible budget configuration

Control: Onboarding includes Weekender budget configuration via bigImage Hacks",13.5.600,7709b42c-b8a7-4e5b-acf5-3a55227037fe
Android Weekender in Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/72xtv8f,NA,NA,"Experiment%201f19a/android-weekender-onboarding-bayes-revisit.pdf, Experiment%201f19a/android-weekender-onboarding-nov8.pdf","AndWeekenderOnb(7596.kuwry4yo)-treatment
AndWeekenderOnb(7596.kuwry4yo)-_default

These config codes are NOT used in the cohorting because onboarding events don't have the experiment-v2 property.",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",13.6.000,Onboarding,"With the 13.6.000 release, weekender will be at 95% and flexible budget will be at 5%","Increase $ from trials 
Decrease onboarding throughput // first food logged",No,Experiment%201f19a/android-weekender-onboarding-nov8-nhst.pdf,NA,Sarah Molhan,Android,"Android New User 10/4/21
Percent Change	Sample Size per Cohort
1%	14567166
2%	3641792
3%	1618575
4%	910449
5%	582,688
6%	404644
7%	297290
8%	227613
9%	179843
10%	145673",NA,NA,NA,"October 27, 2021 → November 7, 2021",NA,Complete 2021,"Danielle Goryl, Patrick Rills","October 21, 2021 → October 27, 2021","Treatment: Extreme Onboarding + Weekender configuration steps & loss aversion page

Control: Extreme Onboarding",13.5.500,43829056-d98f-4b4c-a46e-cebda01a58e5
iOS Weekender in Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/p1leo3v,NA,NA,"Experiment%201f19a/ios-weekender-onboarding-revisit-bayes.pdf, Experiment%201f19a/ios-weekender-onboarding-bayes.pdf","iOSWeekenderOnb(7586.kuipvx94)-iOSOnbWeek
iOSWeekenderOnb(7586.kuipvx94)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",13.5.600 — weekender went to 95%.,Onboarding,This became the new baseline; we'll test it against the Flexible Budget next.,"Increase $ from trials 
Decrease onboarding throughput // first food logged",No,"Experiment%201f19a/ios-weekender-onboarding-revisit.pdf, Experiment%201f19a/ios-weekender-onboarding.pdf",https://www.notion.so/iOS-Trial-Warming-Page-8bf23756cb8147cab86ae034684eb45c,Sarah Molhan,iOS,"New iOS Users (10/4/2021)
Percent Change	Sample Size per Cohort
1%	8908980
2%	2227246
3%	989887
4%	556812
5%	356360
6%	247473
7%	181817
8%	139204
9%	109988
10%	89091",NA,NA,NA,"October 18, 2021 → October 25, 2021",NA,Complete 2021,"Danielle Goryl, Patrick Rills","October 7, 2021 → October 10, 2021","Treatment: Extreme Onboarding + Weekender configuration steps & loss aversion page

Control: Extreme Onboarding",13.5.300,7c0ae3c8-e85f-4ab2-ab8d-6827af1de79e
Reactivation Countdown Timer 72 vs 24 Hours,No,https://analytics.amplitude.com/loseit/dashboard/yhpxalo,NA,"October 25, 2021",Experiment%201f19a/reactivation-countdown-timer-oct25-bayes.pdf,"iOSReacUsersCountdownTimerLength(7590.kuo45yqw)-24h
iOSReacUsersCountdownTimerLength(7590.kuo45yqw)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,Reactivation,"What is the immediate action being taken when you move the card to ""Complete""?",The shorter duration will drive increased bookings,No,Experiment%201f19a/reactivation-countdown-timer-oct25.pdf,NA,Seung Kim,"Android, iOS","Both platforms, reactivated users, no trials
Base on native in app message shown where group = react-users
Percent Difference	Size Per Cohort
1%	15244543
2%	3811136
3%	1693839
4%	952785
5%	609,783
6%	423460
7%	311,114
8%	238197
9%	188205
10%	152446",NA,NA,NA,"October 12, 2021 → October 28, 2021",NA,Complete 2021,"Paul Apollo, Erin Webster-Shaller, Sarah Molhan","October 7, 2021 → October 11, 2021","This is an experiment on the duration of the reactivated user sale. The reactivated user sale has 5 different creatives, and 2 different possible durations. All creative variants are named both with the creative components and the timer duration.",13.5.300,6457c49f-f7c4-4d85-9aac-5e1386d17832
TOTW Promotion (iOS),Yes,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",NA,"November 18, 2021",Experiment%201f19a/ios-totw.pdf,"""iOSAllowPinned2"":{""experiments"":[{""name"":""iOSPinned2"",""weight"":50,""value"":true}],""value"":false,""revision"":""7585.kuh0s7fs""}",Yes,Under what circumstances would the experiment be ended early?,11/5/2021,Social,"What is the immediate action being taken when you move the card to ""Complete""?",We hypothesize that prompting our users with interesting questions they can answer about themselves will increase engagement among the community.,No,Experiment%201f19a/ios_totw_nhst.pdf,NA,"Nick Sal, Seung Kim",iOS,NA,NA,NA,NA,"October 7, 2021 → November 5, 2021",Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_8_-_2021-10-13_at_11.34.20.png,Complete 2021,"Nick Sal, Brian Bouchard, Patrick Rills",NA,"We will be posting Topic of the Week questions/prompts in one of the main groups. For those in the treatment, these posts will be boosted to the top of the feed, the cards will have a yellow background so they stand out more, and there will be a ""verified"" icon next to the name (Lose It! Team).",13.5.300,0851c644-b38e-4d88-b47e-240ee0388c5b
New User Countdown Timer 24 vs 12 Hours,No,https://analytics.amplitude.com/loseit/dashboard/zwudaor,NA,"November 17, 2021","Experiment%201f19a/new-user-countdown-timer-oct25-bayes.pdf, Experiment%201f19a/new_user_countdown_timer.pdf",NA,Yes,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,New User,"What is the immediate action being taken when you move the card to ""Complete""?",The shorter duration will drive increased bookings,No,Experiment%201f19a/new-user-countdown-timer-oct25.pdf,NA,Seung Kim,"Android, iOS","New users, both platforms, no trials
Based on native in app message shown where group = new-users
Percent Difference.    	Size Per Cohort
1%	5668344
2%	1417087
3%	629817
4%	354272
5%	226,735
6%	157455
7%	115681
8%	88569
9%	69981
10%	56684",NA,NA,NA,"October 7, 2021 → November 14, 2021",NA,Complete 2021,"Paul Apollo, Erin Webster-Shaller, Sarah Molhan",NA,"This is an experiment on the duration of the new user sale. The new user sale has 5 different creatives, and 2 different possible durations. All creative variants are named both with the creative components and the timer duration.",13.5.300,a5025edc-421b-41a0-ade4-26eba2b0e3fd
iOS New Purchase Page,Yes,https://analytics.amplitude.com/loseit/dashboard/mx6evuv,NA,"November 1, 2021",Experiment%201f19a/ios-new-purchase-page-oct25-bayes.pdf,"premium-upgrade-page-v2(7584.kufvwltc)-mpppv2
premium-upgrade-page-v2(7584.kufvwltc)-_default",No,"-10% in day 2 retention, -10% in bookings
+15% in day 2 retention, + 15% in bookings",10/25 — up to 100%,Premium,"What is the immediate action being taken when you move the card to ""Complete""?",Treatment will result in more subscriptions and be flat on engagement metrics.,Yes,Experiment%201f19a/ios-new-purchase-page-oct25.pdf,NA,"Sarah Molhan, Seung Kim",iOS,"iOS All users no trials
1%	24764580
2%	6191146
3%	2751621
4%	1547787
5%	990584
6%	687906
7%	505401
8%	386948
9%	305736
10%	247647",NA,NA,NA,"October 6, 2021 → October 25, 2021","Experiment%201f19a/IMG_8642.png, Experiment%201f19a/IMG_8643.png, Experiment%201f19a/IMG_8646.png",Complete 2021,"Danielle Goryl, Erin Webster-Shaller, Paul Apollo, Patrick Rills","September 20, 2021 → September 22, 2021","Treatment: New purchase page with quarterly plan option
Control: standard purchase page",13.5.300,7ffeb461-88af-47c6-bc7c-1362e1a9d72f
Android SurveyGurl MDC,Yes,https://analytics.amplitude.com/loseit/dashboard/ph8x8ps,NA,"November 12, 2021","Experiment%201f19a/android-surveygurl-mdc-nov12_no101.pdf, Experiment%201f19a/android-surveygurl-mdc-nov12.pdf","AndroidSurveyGurlMDC(7582.kucthd0o)-survey-mdc
AndroidSurveyGurlMDC(7582.kucthd0o)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",11/17/21,New User,Turned off; Sarah will test a new version of the survey.,"We saw a 1% increase in day 2 retention, 2% increase in foods logged, and 2.5% increase in day 2 completion on iOS. Seems likely we can replicate some of these gains on Android.",No,Experiment%201f19a/android-surveygurl-mdc-nhst.pdf,NA,Seung Kim,Android,"Percent Change,Sample Size Per Cohort
1%,1516164
2%,379042
3%,168464
4%,94761
5%,60647
6%,42117
7%,30943
8%,23691
9%,18719
10%,15163",NA,NA,NA,"October 4, 2021 → November 2, 2021",NA,Complete 2021,"Sarah Molhan, Patrick Rills","September 30, 2021 → October 4, 2021",New users in the treatment will receive an in-app survey when they mark their day complete for the first time.,13.5.200,ede41999-15c6-441d-a82b-830978105974
Android: Tightened Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/gkvdbhv,NA,NA,Experiment%201f19a/android-tightened-onboarding-bayes.pdf,can't use the config for cohorting on Android onboarding experiments — will use survey-name,No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",Will be off for 13.5.500,Onboarding,We'll continue forward with Extreme Onboarding,increased user account creation; flat for bookings & retention?,No,NA,NA,Sarah Molhan,Android,"Android New User 10/4/21
Percent Change	Sample Size per Cohort
1%	14567166
2%	3641792
3%	1618575
4%	910449
5%	582688
6%	404644
7%	297290
8%	227613
9%	179843
10%	145673",NA,NA,NA,"September 30, 2021 → October 8, 2021",NA,Complete 2021,NA,"September 22, 2021 → September 29, 2021","Treatment: Tightened Onboarding trims down Ultimate Onboarding into just the best questions. It’s 85% as long as Extreme Onboarding and 65% as long as Ultimate Onboarding. 

Control: Extreme Onboarding",13.5.100,d0ca9d9f-8a3f-45f7-8d62-c4595cb93102
New User Email Series Test,No,NA,NA,"October 26, 2021",Experiment%201f19a/new-user-email-series-bayes.pdf,NA,No,NA,NA,"Email, Engagement, New User, Premium",NA,The new user email series will increase early user engagement and bookings.,No,Experiment%201f19a/new-user-email-series.pdf,NA,"Erin Webster-Shaller, Paige Martineau","Email, Iterable",NA,NA,NA,NA,"September 3, 2021 → October 19, 2021",NA,Complete 2021,"Danielle Goryl, Sarah Molhan","September 1, 2021 → September 3, 2021","Test a different new user email series that teaches users about calorie counting (57% of our new users haven't tracked calories before), and funnels Premium & Trial users from the welcome email into the Premium series, and offers free users our new user 50% off sale.",NA,600d8b0e-a650-4cb6-bbf7-eb3a54992b5e
Notification Center (Android),No,NA,NA,"October 4, 2021",NA,"""AndNotifs"":{""experiments"":[{""name"":""notif-center"",""weight"":50,""value"":""true""}],""value"":""false"",""revision"":""7547.ksyqksz4""}",Yes,Under what circumstances would the experiment be ended early?,NA,"Engagement, Social","What is the immediate action being taken when you move the card to ""Complete""?","We hypothesize that the notification center will drive higher retention of social sessions because people will be reminded about a previous post or group that they interacted with and come back to check on the interactions. It will also be much easier for people to view comments, accept friend requests and more.",NA,Experiment%201f19a/Notification_Center_(Android).pdf,NA,"Emma MacDonald, Patrick Rills",Android,NA,NA,NA,NA,"August 30, 2021 → September 26, 2021",NA,Complete 2021,Mia Forte,"August 18, 2021 → August 29, 2021",The treatment will have the new notification center and receive a bubble on the Social tab and Alerts tab when they get a notification.,13.4.500,f31c7fab-e6dd-45de-9312-de9e0813fd5b
End of Summer Sale 2021 - Email Creative Test,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,"September 1, 2021",Experiment%201f19a/ios_eos_email_bayes.pdf,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,N/A,NA,"Email, Premium",NA,What do you expect to happen?,NA,Experiment%201f19a/ios_eos_email.pdf,NA,Danielle Goryl,NA,N/A,NA,NA,NA,"August 29, 2021 → August 31, 2021","Experiment%201f19a/Image_from_iOS_(4).png, Experiment%201f19a/Image_from_iOS_(3).png",Complete 2021,"Robert Mohr, Danielle Goryl","August 29, 2021 → August 31, 2021","We are using testing two creative themes for our initial End of Summer email - one fall theme and one summer theme. This is a dry run for Black Friday, so Data Science will help us determine the winning creative for us to run to all users for the Last Chance email at the end of the week via Iterable. 
This is not a standard experiment and is an email creative test, so this will not follow the standard protocol but we needed DS time and therefore created a card for this.",Min version # treatment is available in — 11.5.800,91f6fd4c-51d6-4dd5-a0ef-1341cd617808
